PlanetName,HostName,NumOfStars,NumOfPlanets,DiscoveryMethod,DiscoveryYear,DiscoveryFacility,ControversialFlag,OrbitalPeriod,OrbitSemi-MajorAxis,Eccentricity,EquilibriumTemperature,StellarEffectiveTemperature,StellarMetallicity,StellarSurfaceGravity,RightAscension,Declination,DistancetoPlanetarySystem,StellarBrightnessGaia,PlanetMass,StellarMass,PlanetRadiusKm,StellarRadiusKm,PlanetGravity,StellarVolume,StellarDensity
Kepler-1440 b,Kepler-1440,1,1,Transit,2016,Kepler,0,39.859484,0.2245,0.0,570.0,5906.0,-0.16,4.35,285.3469737,48.3122283,1115.35,14.1018,1.8893264308370325e+30,1.889075e+30,8855.689999999999,744399.0,1607932869503.3284,1.7278496622166118e+18,1093309818156.6077
Kepler-1441 b,Kepler-1441,1,1,Transit,2016,Kepler,0,39.4420781,0.2346,0.0,682.0,5430.0,0.16,3.92,293.7191177,43.1245756,1110.48,14.2567,2.2018399871975436e+30,2.207235e+30,15991.21,1321830.0,574683628414.5029,9.674208034447559e+18,228156660694.14264
Kepler-1441 b,Kepler-1441,1,1,Transit,2016,Kepler,0,39.4419839,0.2201,0.0,492.0,5749.0,-0.24,4.56,293.7191177,43.1245756,1110.48,14.2567,1.818293278766888e+30,1.8095350000000002e+30,7071.81,577431.0,2426657529332.947,8.064712624861738e+17,2243768729491.4897
Kepler-1442 b,Kepler-1442,1,1,Transit,2016,Kepler,0,81.4162941,0.3778,0.0,488.0,6499.0,-0.34,4.39,291.2556226,48.8469171,608.68,12.0303,2.1581643227724062e+30,2.14758e+30,18858.16,758313.0,405034111185.38,1.8265607168162396e+18,1175750677340.367
Kepler-1442 b,Kepler-1442,1,1,Transit,2016,Kepler,0,81.4160138,0.4039,0.0,522.0,6352.0,0.32,4.27,291.2556226,48.8469171,608.68,12.0303,2.6370793499640867e+30,2.6248200000000003e+30,29497.73,973979.9999999999,202279433837.28946,3.8702473897833636e+18,678204707773.7126
Kepler-1443 b,Kepler-1443,1,1,Transit,2016,Kepler,0,2.41811321,0.0356,0.0,1572.0,6379.0,-0.3,4.36,283.4357392,47.0667983,593.646,12.212,2.04700094636596e+30,2.048155e+30,5033.09,772227.0000000001,5393297466039.109,1.9289614824842624e+18,1061791548767.5945
Kepler-1443 b,Kepler-1443,1,1,Transit,2016,Kepler,0,2.41810158,0.0368,0.0,1602.0,6258.0,0.0,4.31,283.4357392,47.0667983,593.646,12.212,2.2610787220318646e+30,2.2668899999999998e+30,5415.349999999999,862668.0,5145982975907.172,2.689178775254489e+18,842967385009.7504
Kepler-1444 b,Kepler-1444,1,1,Transit,2016,Kepler,0,33.4203001,0.2015,0.0,581.0,5731.0,0.08,4.37,285.3306799,42.0405016,319.675,12.2578,1.9432369928229178e+30,1.94873e+30,15672.66,744399.0,528014767085.94275,1.7278496622166118e+18,1127835391361.5532
Kepler-1444 b,Kepler-1444,1,1,Transit,2016,Kepler,0,33.42035034,0.2026,0.0,542.0,5838.0,-0.08,4.53,285.3306799,42.0405016,319.675,12.2578,1.9752298282532876e+30,1.968615e+30,11722.640000000001,626130.0,959339889323.1045,1.0282107679125631e+18,1914602590669.8215
Kepler-1445 b,Kepler-1445,1,1,Transit,2016,Kepler,0,10.60052083,0.0948,0.0,987.0,6035.0,-0.16,4.21,280.2495197,43.9150665,506.357,12.4184,2.0113697449692707e+30,2.008385e+30,6944.39,904410.0,2783744876972.171,3.098736703846229e+18,648130251759.4163
